State,Population,ViolentCrime,Murder,Robbery,PropertyCrime
"281,421,906",1425486.0,506.5,15586.0,5.5,
"285,317,559",1439480.0,504.5,16037.0,5.6,
"287,973,924",1423677.0,494.4,16229.0,5.6,
"290,788,976",1383676.0,475.8,16528.0,5.7,
"293,656,842",1360088.0,463.2,16148.0,5.5,
"296,507,061",1390745.0,469.0,16740.0,5.6,
"299,398,484",1435123.0,479.3,17309.0,5.8,
"301,621,157",1422970.0,471.8,17128.0,5.7,
"304,059,724",1394461.0,458.6,16465.0,5.4,
"307,006,550",1325896.0,431.9,15399.0,5.0,
"309,330,219",1251248.0,404.5,14722.0,4.8,
"311,587,816",1206005.0,387.1,14661.0,4.7,
"313,873,685",1217057.0,387.8,14856.0,4.7,
"316,497,531",1168298.0,369.1,14319.0,4.5,113695.0
"318,907,401",1153022.0,361.6,14164.0,4.4,118027.0
"320,896,618",1199310.0,373.7,15883.0,4.9,126134.0
"323,405,935",1250162.0,386.6,17413.0,5.4,132414.0
"325,147,121",1247917.0,383.8,17294.0,5.3,135666.0
"326,687,501",1209997.0,370.4,16374.0,5.0,143765.0
"328,239,523",1203808.0,366.7,16425.0,5.0,139815.0
-0.5,-1.0,0.3,-0.2,-2.7,-3.2
+0.4,-1.9,3.4,1.1,10.8,8.4
-3.8,-9.3,11.6,5.1,,
